Kode ,Nama,
VI034105,Pemrograman Lanjut,
VIT1934207,Workshop Kecerdasan Buatan,
VIT1934201,Bahasa Inggris 4,
VI035203,Bahasa Indonesia,
VIT2043306,Rekayasa Perangkat Lunak,
VI045106,Sistem Pendukung Keputusan,
VI034110,Workshop Basis Data,
VI044105,Workshop Jaringan,
VIT2043308,Workshop framework,
